Id;Antecedente1;Antecedente2;Antecedente3;Antecedente4;Consecuente;%h
1;very_slow;very_slow;very_slow;;soft_accelerate;100,0
42;slow;fast;slow;;strong_accelerate;100,0
67;medium;fast;slow;;strong_accelerate;4,222069
68;medium;fast;medium;;high_accelerate;100,0
68;medium;fast;medium;;high_accelerate;100,0
63;medium;medium;medium;;medium_accelerate;97,99549
63;medium;medium;medium;;medium_accelerate;77,836494
63;medium;medium;medium;;medium_accelerate;65,26501
88;fast;medium;medium;;soft_brake;0,3840027
93;fast;fast;medium;;high_accelerate;12,291992
93;fast;fast;medium;;high_accelerate;14,723998
63;medium;medium;medium;;medium_accelerate;27,975004
63;medium;medium;medium;;medium_accelerate;26,739996
68;medium;fast;medium;;high_accelerate;10,294991
88;fast;medium;medium;;soft_brake;23,105278
63;medium;medium;medium;;medium_accelerate;54,864998
68;medium;fast;medium;;high_accelerate;55,92998
42;slow;fast;slow;;strong_accelerate;1,0110092
51;medium;very_slow;very_slow;;soft_brake;27,240652
42;slow;fast;slow;;strong_accelerate;53,90499
63;medium;medium;medium;;medium_accelerate;0,3632609
68;medium;fast;medium;;high_accelerate;5,3232574
68;medium;fast;medium;;high_accelerate;100,0
63;medium;medium;medium;;medium_accelerate;100,0
63;medium;medium;medium;;medium_accelerate;93,41999
68;medium;fast;medium;;high_accelerate;75,53501
69;medium;fast;fast;;medium_accelerate;0,52905273
93;fast;fast;medium;;high_accelerate;7,0599976
93;fast;fast;medium;;high_accelerate;10,959991
88;fast;medium;medium;;soft_brake;9,040009
68;medium;fast;medium;;high_accelerate;100,0
68;medium;fast;medium;;high_accelerate;100,0
68;medium;fast;medium;;high_accelerate;100,0
68;medium;fast;medium;;high_accelerate;100,0
68;medium;fast;medium;;high_accelerate;41,870003
67;medium;fast;slow;;strong_accelerate;8,260803
42;slow;fast;slow;;strong_accelerate;46,131
63;medium;medium;medium;;medium_accelerate;36,626026
63;medium;medium;medium;;medium_accelerate;100,0
63;medium;medium;medium;;medium_accelerate;100,0
68;medium;fast;medium;;high_accelerate;100,0
63;medium;medium;medium;;medium_accelerate;100,0
68;medium;fast;medium;;high_accelerate;81,06949
88;fast;medium;medium;;soft_brake;2,723999
68;medium;fast;medium;;high_accelerate;59,889984
68;medium;fast;medium;;high_accelerate;31,227264
37;slow;medium;slow;;high_accelerate;60,742493
63;medium;medium;medium;;medium_accelerate;53,879547
62;medium;medium;slow;;high_accelerate;19,896278
63;medium;medium;medium;;medium_accelerate;100,0
68;medium;fast;medium;;high_accelerate;100,0
68;medium;fast;medium;;high_accelerate;100,0
63;medium;medium;medium;;medium_accelerate;54,034996
88;fast;medium;medium;;soft_brake;9,007996
41;slow;fast;very_slow;;strong_accelerate;35,3685
11;very_slow;medium;very_slow;;strong_accelerate;100,0
11;very_slow;medium;very_slow;;strong_accelerate;10,627995
37;slow;medium;slow;;high_accelerate;38,565998
68;medium;fast;medium;;high_accelerate;44,107567
63;medium;medium;medium;;medium_accelerate;87,98391
63;medium;medium;medium;;medium_accelerate;100,0
63;medium;medium;medium;;medium_accelerate;100,0
63;medium;medium;medium;;medium_accelerate;100,0
63;medium;medium;medium;;medium_accelerate;100,0
