Id;Antecedente1;Antecedente2;Antecedente3;Antecedente4;Consecuente;%h
17;very_slow;medium;far;medium;zero;16,6226
17;very_slow;medium;far;medium;zero;16,617699
17;very_slow;medium;far;medium;zero;17,9323
8;very_slow;short;far;medium;right;47,686005
17;very_slow;medium;far;medium;zero;24,067993
14;very_slow;medium;medium;medium;zero;35,190296
14;very_slow;medium;medium;medium;zero;51,309998
41;slow;medium;medium;medium;zero;44,7704
41;slow;medium;medium;medium;zero;35,917194
44;slow;medium;far;medium;zero;36,905605
44;slow;medium;far;medium;zero;45,448597
71;medium;medium;far;medium;zero;21,037344
71;medium;medium;far;medium;zero;47,149403
71;medium;medium;far;medium;zero;45,732098
71;medium;medium;far;medium;zero;43,5717
71;medium;medium;far;medium;zero;40,3004
71;medium;medium;far;medium;zero;43,549805
71;medium;medium;far;medium;zero;46,001198
71;medium;medium;far;medium;zero;45,1058
71;medium;medium;far;medium;zero;40,307503
71;medium;medium;far;medium;zero;39,341003
71;medium;medium;far;medium;zero;41,9123
71;medium;medium;far;medium;zero;43,913204
71;medium;medium;far;medium;zero;44,9741
71;medium;medium;far;medium;zero;44,5895
71;medium;medium;far;medium;zero;47,644596
71;medium;medium;far;medium;zero;46,7865
71;medium;medium;far;medium;zero;43,572598
71;medium;medium;far;medium;zero;44,350204
71;medium;medium;far;medium;zero;40,766
71;medium;medium;far;medium;zero;41,5541
71;medium;medium;far;medium;zero;39,6274
71;medium;medium;far;medium;zero;42,835102
71;medium;medium;far;medium;zero;39,577904
71;medium;medium;far;medium;zero;42,404404
71;medium;medium;far;medium;zero;39,571
71;medium;medium;far;medium;zero;44,517403
71;medium;medium;far;medium;zero;40,558594
98;fast;medium;far;medium;zero;2,3240051
62;medium;short;far;medium;right;1,1273321
71;medium;medium;far;medium;zero;20,716654
89;fast;short;far;medium;right;13,627991
98;fast;medium;far;medium;zero;11,548004
89;fast;short;far;medium;right;13,540009
98;fast;medium;far;medium;zero;14,359985
62;medium;short;far;medium;right;28,07692
98;fast;medium;far;medium;zero;14,368011
71;medium;medium;far;medium;zero;29,275019
98;fast;medium;far;medium;zero;18,635986
71;medium;medium;far;medium;zero;26,54499
98;fast;medium;far;medium;zero;20,14801
71;medium;medium;far;medium;zero;14,869995
98;fast;medium;far;medium;zero;32,98001
62;medium;short;far;medium;right;3,6149979
71;medium;medium;far;medium;zero;7,599983
89;fast;short;far;medium;right;29,928463
98;fast;medium;far;medium;zero;15,3160095
62;medium;short;far;medium;right;40,41708
62;medium;short;far;medium;right;0,96666974
71;medium;medium;far;medium;zero;28,3597
71;medium;medium;far;medium;zero;39,165
68;medium;medium;medium;medium;zero;37,3166
62;medium;short;far;medium;right;12,88667
71;medium;medium;far;medium;zero;23,972801
71;medium;medium;far;medium;zero;36,1314
68;medium;medium;medium;medium;zero;35,6306
71;medium;medium;far;medium;zero;22,624998
68;medium;medium;medium;medium;zero;39,863396
71;medium;medium;far;medium;zero;23,3044
68;medium;medium;medium;medium;zero;30,012665
65;medium;medium;short;medium;right;1,7064999
58;medium;short;medium;short;zero;27,943846
32;slow;short;medium;medium;small_right;60,923004
34;slow;short;far;short;zero;29,389997
31;slow;short;medium;short;zero;11,266151
34;slow;short;far;short;zero;20,900002
31;slow;short;medium;short;zero;32,686153
40;slow;medium;medium;short;small_left;22,484016
34;slow;short;far;short;zero;36,21846
34;slow;short;far;short;zero;34,33846
61;medium;short;far;short;zero;11,04599
61;medium;short;far;short;zero;32,09923
58;medium;short;medium;short;zero;29,61846
61;medium;short;far;short;zero;10,146663
61;medium;short;far;short;zero;36,96231
61;medium;short;far;short;zero;39,192154
61;medium;short;far;short;zero;37,436153
61;medium;short;far;short;zero;37,52308
61;medium;short;far;short;zero;37,20846
67;medium;medium;medium;short;small_left;21,437988
61;medium;short;far;short;zero;35,76231
61;medium;short;far;short;zero;37,733078
61;medium;short;far;short;zero;33,120773
61;medium;short;far;short;zero;38,069233
61;medium;short;far;short;zero;30,52231
61;medium;short;far;short;zero;34,658463
67;medium;medium;medium;short;small_left;18,005981
61;medium;short;far;short;zero;33,586918
67;medium;medium;medium;short;small_left;24,508018
61;medium;short;far;short;zero;36,929234
61;medium;short;far;short;zero;29,502312
58;medium;short;medium;short;zero;32,45923
67;medium;medium;medium;short;small_left;47,463696
58;medium;short;medium;short;zero;15,922013
67;medium;medium;medium;short;small_left;39,279766
58;medium;short;medium;short;zero;29,470766
85;fast;short;medium;short;zero;10,216003
58;medium;short;medium;short;zero;19,220001
85;fast;short;medium;short;zero;5,5559998
58;medium;short;medium;short;zero;20,743076
67;medium;medium;medium;short;small_left;41,445007
85;fast;short;medium;short;zero;6,7680054
94;fast;medium;medium;short;small_left;7,1560054
58;medium;short;medium;short;zero;31,596153
67;medium;medium;medium;short;small_left;37,924995
85;fast;short;medium;short;zero;7,764008
88;fast;short;far;short;zero;7,6520076
58;medium;short;medium;short;zero;36,319237
85;fast;short;medium;short;zero;12,164001
58;medium;short;medium;short;zero;13,624618
88;fast;short;far;short;zero;13,019989
61;medium;short;far;short;zero;21,865383
88;fast;short;far;short;zero;2,2279968
58;medium;short;medium;short;zero;19,781538
61;medium;short;far;short;zero;25,715387
58;medium;short;medium;short;zero;34,68154
58;medium;short;medium;short;zero;10,732306
67;medium;medium;medium;short;small_left;56,41008
58;medium;short;medium;short;zero;32,263073
61;medium;short;far;short;zero;33,608456
58;medium;short;medium;short;zero;17,913849
58;medium;short;medium;short;zero;21,744617
58;medium;short;medium;short;zero;30,046156
67;medium;medium;medium;short;small_left;16,697998
58;medium;short;medium;short;zero;37,448467
58;medium;short;medium;short;zero;31,034616
58;medium;short;medium;short;zero;25,083843
58;medium;short;medium;short;zero;31,859228
67;medium;medium;medium;short;small_left;31,683006
58;medium;short;medium;short;zero;37,176926
58;medium;short;medium;short;zero;19,767696
67;medium;medium;medium;short;small_left;52,64569
61;medium;short;far;short;zero;30,835386
61;medium;short;far;short;zero;37,35539
61;medium;short;far;short;zero;38,088463
61;medium;short;far;short;zero;38,944927
61;medium;short;far;short;zero;39,877693
88;fast;short;far;short;zero;9,247986
58;medium;short;medium;short;zero;32,97001
67;medium;medium;medium;short;small_left;29,46499
58;medium;short;medium;short;zero;23,652306
67;medium;medium;medium;short;small_left;26,699226
61;medium;short;far;short;zero;22,37846
61;medium;short;far;short;zero;34,04231
58;medium;short;medium;short;zero;17,193075
34;slow;short;far;short;zero;29,335382
34;slow;short;far;short;zero;27,877998
61;medium;short;far;short;zero;21,213327
61;medium;short;far;short;zero;35,112305
61;medium;short;far;short;zero;37,468464
61;medium;short;far;short;zero;38,485615
61;medium;short;far;short;zero;34,19846
61;medium;short;far;short;zero;33,502308
61;medium;short;far;short;zero;36,924618
61;medium;short;far;short;zero;36,63154
61;medium;short;far;short;zero;35,26923
61;medium;short;far;short;zero;32,725384
61;medium;short;far;short;zero;33,59769
61;medium;short;far;short;zero;37,71
61;medium;short;far;short;zero;37,447693
61;medium;short;far;short;zero;33,526154
61;medium;short;far;short;zero;30,980772
61;medium;short;far;short;zero;30,376926
61;medium;short;far;short;zero;32,897694
61;medium;short;far;short;zero;38,846924
61;medium;short;far;short;zero;38,799618
61;medium;short;far;short;zero;33,389233
61;medium;short;far;short;zero;34,331543
61;medium;short;far;short;zero;34,43385
61;medium;short;far;short;zero;29,270765
61;medium;short;far;short;zero;25,530771
61;medium;short;far;short;zero;27,317694
61;medium;short;far;short;zero;31,606153
88;fast;short;far;short;zero;0,54400635
61;medium;short;far;short;zero;25,79846
61;medium;short;far;short;zero;28,613848
61;medium;short;far;short;zero;31,136925
61;medium;short;far;short;zero;28,424614
67;medium;medium;medium;short;small_left;4,9539948
58;medium;short;medium;short;zero;14,446926
67;medium;medium;medium;short;small_left;37,636154
67;medium;medium;medium;short;small_left;70,51385
70;medium;medium;far;short;small_left;52,782154
67;medium;medium;medium;short;small_left;0,7623086
43;slow;medium;far;short;small_left;32,264614
67;medium;medium;medium;short;small_left;0,23933412
70;medium;medium;far;short;small_left;46,46535
61;medium;short;far;short;zero;34,866158
70;medium;medium;far;short;small_left;16,44923
43;slow;medium;far;short;small_left;9,22067
43;slow;medium;far;short;small_left;33,579998
70;medium;medium;far;short;small_left;23,822659
70;medium;medium;far;short;small_left;41,038307
70;medium;medium;far;short;small_left;41,47331
70;medium;medium;far;short;small_left;37,06932
70;medium;medium;far;short;small_left;32,70462
67;medium;medium;medium;short;small_left;57,324306
67;medium;medium;medium;short;small_left;61,54769
70;medium;medium;far;short;small_left;53,452152
70;medium;medium;far;short;small_left;28,238457
67;medium;medium;medium;short;small_left;55,416077
67;medium;medium;medium;short;small_left;66,74223
61;medium;short;far;short;zero;21,085388
70;medium;medium;far;short;small_left;37,375385
61;medium;short;far;short;zero;2,8646724
67;medium;medium;medium;short;small_left;77,2433
61;medium;short;far;short;zero;10,923078
70;medium;medium;far;short;small_left;49,048153
70;medium;medium;far;short;small_left;31,069998
67;medium;medium;medium;short;small_left;44,17
88;fast;short;far;short;zero;3,1753833
61;medium;short;far;short;zero;19,514612
67;medium;medium;medium;short;small_left;39,904533
59;medium;short;medium;medium;small_right;37,524986
70;medium;medium;far;short;small_left;19,495502
46;slow;far;short;short;left;20,89846
4;very_slow;short;medium;short;zero;32,327686
7;very_slow;short;far;short;zero;31,744612
7;very_slow;short;far;short;zero;18,898464
7;very_slow;short;far;short;zero;11,371539
7;very_slow;short;far;short;zero;10,110767
7;very_slow;short;far;short;zero;14,703846
34;slow;short;far;short;zero;23,626923
40;slow;medium;medium;short;small_left;24,398003
31;slow;short;medium;short;zero;16,832308
40;slow;medium;medium;short;small_left;11,077995
34;slow;short;far;short;zero;34,149998
34;slow;short;far;short;zero;22,353992
61;medium;short;far;short;zero;31,301535
61;medium;short;far;short;zero;27,096924
61;medium;short;far;short;zero;26,519234
61;medium;short;far;short;zero;26,846153
61;medium;short;far;short;zero;26,393076
61;medium;short;far;short;zero;32,479225
61;medium;short;far;short;zero;39,30715
61;medium;short;far;short;zero;35,543842
61;medium;short;far;short;zero;30,57154
61;medium;short;far;short;zero;25,426153
58;medium;short;medium;short;zero;7,9579926
61;medium;short;far;short;zero;34,44077
61;medium;short;far;short;zero;32,627693
61;medium;short;far;short;zero;27,42077
61;medium;short;far;short;zero;21,974615
61;medium;short;far;short;zero;31,071537
61;medium;short;far;short;zero;36,005386
61;medium;short;far;short;zero;23,763077
58;medium;short;medium;short;zero;1,0210037
61;medium;short;far;short;zero;30,015388
61;medium;short;far;short;zero;30,12077
61;medium;short;far;short;zero;26,392305
