Id;Antecedente1;Antecedente2;Antecedente3;Antecedente4;Consecuente;%h
17;medium;far;medium;;fast;16,6226
17;medium;far;medium;;fast;16,617699
17;medium;far;medium;;fast;17,9323
8;short;far;medium;;medium;47,686005
17;medium;far;medium;;fast;24,067993
14;medium;medium;medium;;fast;35,190296
14;medium;medium;medium;;fast;51,309998
14;medium;medium;medium;;fast;39,1792
14;medium;medium;medium;;fast;35,4127
17;medium;far;medium;;fast;41,3709
17;medium;far;medium;;fast;44,331596
17;medium;far;medium;;fast;46,710197
17;medium;far;medium;;fast;46,265404
17;medium;far;medium;;fast;43,952904
17;medium;far;medium;;fast;40,751106
17;medium;far;medium;;fast;38,842495
17;medium;far;medium;;fast;39,274597
17;medium;far;medium;;fast;38,451702
17;medium;far;medium;;fast;36,1137
17;medium;far;medium;;fast;36,5516
17;medium;far;medium;;fast;38,574497
17;medium;far;medium;;fast;39,579098
17;medium;far;medium;;fast;39,753906
17;medium;far;medium;;fast;39,4693
17;medium;far;medium;;fast;41,5194
17;medium;far;medium;;fast;42,6091
17;medium;far;medium;;fast;45,008095
17;medium;far;medium;;fast;45,138596
17;medium;far;medium;;fast;46,878498
17;medium;far;medium;;fast;47,567795
17;medium;far;medium;;fast;45,7061
17;medium;far;medium;;fast;48,1771
17;medium;far;medium;;fast;45,236595
17;medium;far;medium;;fast;47,642403
17;medium;far;medium;;fast;42,4611
17;medium;far;medium;;fast;37,711098
17;medium;far;medium;;fast;9,914004
8;short;far;medium;;medium;28,954617
17;medium;far;medium;;fast;42,406998
17;medium;far;medium;;fast;26,046675
17;medium;far;medium;;fast;41,608295
17;medium;far;medium;;fast;29,689398
17;medium;far;medium;;fast;47,907303
17;medium;far;medium;;fast;37,07799
8;short;far;medium;;medium;28,76846
17;medium;far;medium;;fast;47,7163
8;short;far;medium;;medium;3,3059947
8;short;far;medium;;medium;20,184656
17;medium;far;medium;;fast;32,819794
17;medium;far;medium;;fast;36,747902
14;medium;medium;medium;;fast;27,823702
8;short;far;medium;;medium;16,67154
17;medium;far;medium;;fast;32,1989
17;medium;far;medium;;fast;37,803
8;short;far;medium;;medium;2,4160004
17;medium;far;medium;;fast;30,808496
14;medium;medium;medium;;fast;25,996298
17;medium;far;medium;;fast;39,2188
14;medium;medium;medium;;fast;23,6087
16;medium;far;short;;medium;72,187996
5;short;medium;medium;;very_slow;55,242
7;short;far;short;;fast;17,639996
4;short;medium;short;;very_slow;25,793076
13;medium;medium;short;;fast;39,37401
7;short;far;short;;fast;35,462303
