Position;Laptime;Speed;Position_track;Acel;Gear;RPM;Steer;Damage
1,0;1,064;13,4387;0,3115130066871643;1,0;1,0;1535,28;-0,35;0,0
1,0;3,172;47,4845;-0,04228010028600693;1,0;2,0;3513,2;0,35;0,0
1,0;5,372;82,2141;-0,02336210012435913;1,0;3,0;4513,2;0,0;0,0
1,0;7,572;91,1516;-0,04489070177078247;1,0;3,0;4989,46;0,35;0,0
1,0;9,61;94,4741;-1,4699299936182797E-4;1,0;3,0;5135,71;0,35;0,0
1,0;11,61;97,9553;-0,034735098481178284;1,0;3,0;5225,89;0,35;0,0
1,0;13,61;100,895;-0,0645638033747673;1,0;3,0;5354,44;0,35;0,0
1,0;15,61;102,971;-0,07266390323638916;1,0;3,0;5646,83;0,35;0,0
1,0;17,772;107,832;-0,08000790327787399;1,0;4,0;4590,41;0,0;0,0
1,0;19,972;112,336;0,0021911601070314646;1,0;4,0;4758,64;0,0;0,0
1,0;22,172;103,999;-0,17060500383377075;1,0;4,0;4376,23;0,35;0,0
1,0;24,372;103,501;0,08628640323877335;1,0;4,0;4302,39;-0,35;0,0
1,0;26,572;64,6334;0,230336993932724;1,0;3,0;4145,01;0,35;0,0
1,0;28,772;50,6953;0,3464210033416748;1,0;2,0;3056,52;-0,35;0,0
1,0;30,972;49,0056;0,019765200093388557;1,0;2,0;2934,43;-0,35;0,0
1,0;33,066;68,135;-0,0463114008307457;1,0;2,0;5005,75;-0,35;0,0
1,0;35,066;82,9969;-0,028291799128055573;1,0;3,0;4492,64;0,0;0,0
1,0;37,066;91,4886;-1,5869099297560751E-4;1,0;3,0;5010,23;-0,35;0,0
1,0;39,066;96,416;0,05593260005116463;1,0;3,0;5131,23;-0,35;0,0
1,0;41,066;100,254;0,07414410263299942;1,0;3,0;5363,48;-0,35;0,0
1,0;43,066;106,521;-0,22146199643611908;1,0;4,0;4552,48;0,35;0,0
1,0;45,066;107,104;-0,2839699983596802;1,0;4,0;4486,9;0,35;0,0
1,0;47,066;85,2082;-0,2285050004720688;1,0;4,0;3648,63;0,35;0,0
1,0;49,066;87,7808;-0,11088699847459793;1,0;4,0;3737,83;0,35;0,0
1,0;51,066;93,1942;0,026260899379849434;1,0;4,0;3898,51;0,0;0,0
1,0;53,066;98,185;0,03232499957084656;1,0;4,0;4216,05;0,0;0,0
1,0;55,066;90,669;0,1350799947977066;1,0;4,0;3572,84;-0,35;0,0
1,0;57,066;54,3239;0,07820840179920197;1,0;2,0;4112,21;0,0;0,0
1,0;59,066;76,1588;-0,0034987099934369326;1,0;2,0;5623,86;-0,35;0,0
1,0;61,066;84,5816;1,3224300346337259E-5;1,0;3,0;4571,54;0,35;0,0
1,0;63,066;86,7899;-0,0243328008800745;1,0;3,0;4739,11;0,0;0,0
1,0;65,174;87,8005;0,05618999898433685;1,0;3,0;4632,15;-0,35;0,0
1,0;67,374;93,6756;-0,011164399795234203;1,0;3,0;5280,51;0,35;0,0
1,0;69,574;102,735;-0,059884801506996155;1,0;3,0;5500,56;0,35;0,0
1,0;71,774;104,768;-0,011501000262796879;1,0;4,0;4408,39;0,35;0,0
1,0;73,974;79,3624;0,22928600013256073;1,0;3,0;2879,81;-0,35;0,0
1,0;76,174;65,8803;0,12262900173664093;1,0;3,0;3148,71;-0,35;0,0
1,0;78,374;63,0668;0,08206409960985184;1,0;3,0;3008,68;-0,35;0,0
1,0;80,574;73,6895;-0,02487640082836151;1,0;2,0;5374,09;0,35;0,0
1,0;82,774;87,2182;-0,06874799728393555;1,0;3,0;4693,1;-0,35;0,0
1,0;84,974;96,6018;8,758549811318517E-4;1,0;3,0;5287,22;-0,35;0,0
1,0;87,174;104,36;-0,336542010307312;1,0;3,0;5643,97;0,35;0,0
1,0;1,014;106,599;-0,08839070051908493;1,0;3,0;5768,22;-0,35;0,0
1,0;6,976;0,0;0,2964009940624237;1,0;1,0;942,478;-0,35;506,0
1,0;9,176;11,9681;0,4216040074825287;1,0;1,0;1545,88;-0,35;506,0
1,0;11,376;53,099;-0,025085199624300003;1,0;2,0;3954,62;-0,35;506,0
1,0;13,576;74,6835;-0,07346899807453156;1,0;2,0;5660,81;0,35;506,0
1,0;15,776;80,25;-0,0419670008122921;1,0;3,0;4275,74;0,35;506,0
1,0;17,976;83,3862;0,11272600293159485;1,0;3,0;4538,51;-0,35;506,0
1,0;20,176;86,048;-0,0946241021156311;1,0;3,0;4569,94;0,0;506,0
1,0;22,376;88,5148;-0,053176399320364;1,0;3,0;4733,46;0,35;506,0
1,0;24,576;93,9858;-0,00813497044146061;1,0;3,0;5284,31;-0,35;506,0
